        Pin Assignment Report - Prepared - project_top
        ______________________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Build  405518 -- Date 2023-03-01 00:42

Design: vp_project - impl_1 - project_top
Device: AC7t1500
Generated on Mon May 15 11:07:14 PDT 2023
Host: simtool-5

Pin Assignment =======

   Port Name                            Direction  Pad/Macro                                                Placed  Device Port                 Pad/Macro Site                                                            Registered  Clock Domain                          Target Frequency (MHz) 
   ethernet_0_quad0_emac_xoff_gen[20]   OUT        ethernet_0_quad0_emac_xoff_gen[20]_opin                  Fixed   o_user_02_09_lut_17[4]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc4.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[19]   OUT        ethernet_0_quad0_emac_xoff_gen[19]_opin                  Fixed   o_user_02_09_lut_17[3]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc3.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[18]   OUT        ethernet_0_quad0_emac_xoff_gen[18]_opin                  Fixed   o_user_02_09_lut_17[1]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc1.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[17]   OUT        ethernet_0_quad0_emac_xoff_gen[17]_opin                  Fixed   o_user_02_09_lut_17[0]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc0.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[16]   OUT        ethernet_0_quad0_emac_xoff_gen[16]_opin                  Fixed   o_user_02_09_lut_16[27]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc27.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[15]   OUT        ethernet_0_quad0_emac_xoff_gen[15]_opin                  Fixed   o_user_02_09_lut_16[26]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc26.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[14]   OUT        ethernet_0_quad0_emac_xoff_gen[14]_opin                  Fixed   o_user_02_09_lut_16[24]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc24.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[13]   OUT        ethernet_0_quad0_emac_xoff_gen[13]_opin                  Fixed   o_user_02_09_lut_16[23]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc23.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[12]   OUT        ethernet_0_quad0_emac_xoff_gen[12]_opin                  Fixed   o_user_02_09_lut_16[22]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc22.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[11]   OUT        ethernet_0_quad0_emac_xoff_gen[11]_opin                  Fixed   o_user_02_09_lut_16[21]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc21.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[10]   OUT        ethernet_0_quad0_emac_xoff_gen[10]_opin                  Fixed   o_user_02_09_lut_16[19]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc19.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[9]    OUT        ethernet_0_quad0_emac_xoff_gen[9]_opin                   Fixed   o_user_02_09_lut_16[18]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc18.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[8]    OUT        ethernet_0_quad0_emac_xoff_gen[8]_opin                   Fixed   o_user_02_09_lut_16[17]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc17.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[7]    OUT        ethernet_0_quad0_emac_xoff_gen[7]_opin                   Fixed   o_user_02_09_lut_16[16]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc16.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[6]    OUT        ethernet_0_quad0_emac_xoff_gen[6]_opin                   Fixed   o_user_02_09_lut_16[14]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc14.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[5]    OUT        ethernet_0_quad0_emac_xoff_gen[5]_opin                   Fixed   o_user_02_09_lut_16[13]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc13.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[4]    OUT        ethernet_0_quad0_emac_xoff_gen[4]_opin                   Fixed   o_user_02_09_lut_16[12]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc12.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[3]    OUT        ethernet_0_quad0_emac_xoff_gen[3]_opin                   Fixed   o_user_02_09_lut_16[11]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc11.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[2]    OUT        ethernet_0_quad0_emac_xoff_gen[2]_opin                   Fixed   o_user_02_09_lut_16[9]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc9.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[1]    OUT        ethernet_0_quad0_emac_xoff_gen[1]_opin                   Fixed   o_user_02_09_lut_16[8]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc8.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[0]    OUT        ethernet_0_quad0_emac_xoff_gen[0]_opin                   Fixed   o_user_02_09_lut_16[7]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc7.opin                    No          ---                                   ---                    
   ethernet_0_quad0_lpi_txhold[3]       OUT        ethernet_0_quad0_lpi_txhold[3]_opin                      Fixed   o_user_02_09_lut_18[4]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile18.sg.slc4.opin                    No          ---                                   ---                    
   ethernet_0_quad0_lpi_txhold[2]       OUT        ethernet_0_quad0_lpi_txhold[2]_opin                      Fixed   o_user_02_09_lut_18[3]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile18.sg.slc3.opin                    No          ---                                   ---                    
